Customer_ID,Name,Account_Number,Account_Type,Loan_Type,Loan_Amount,Outstanding_Amount,EMI_Amount,Due_Date,Payment_Status,Collection_Agent,Last_Payment_Date,Payment_Delay_Days,Region,Contact_Number,Email,Customer_Score,Risk_Level
CUST00016,Donald Reyes,475B16A3-D64,Current,Car Loan,219944,4017.99,85.49,2024-12-11,Partially Paid,Aaron Mckenzie,2023-05-15,12,South,001-813-094-6663x153,gwinters@colon-ramirez.net,620,Medium
CUST00017,Jennifer Montgomery,2A4D82EF-536,Savings,Home Loan,166857,16045.34,391.35,2023-04-01,Partially Paid,Donald Miller,2023-02-18,36,South,0422362280,patrick42@gmail.com,664,Medium
CUST00018,Lisa Barnett,51CB881A-CBC,Savings,Car Loan,38500,38183.74,647.18,2023-04-29,Missed,Jessica Castillo,,89,East,949.699.1002x18322,robertjoseph@gmail.com,691,Medium
CUST00019,Jessica Giles,4419594A-62C,Savings,Car Loan,292276,87230.88,2127.58,2024-02-20,Missed,Keith Jones,,61,East,416-878-9678,zliu@jackson.net,802,Low
CUST00020,Courtney Gonzalez,07AFE7CD-3C6,Credit,Car Loan,35934,5189.27,178.94,2024-06-02,Missed,Thomas Rasmussen,,41,West,768.355.3409,jasoncallahan@yahoo.com,622,Medium
CUST00021,Crystal Hines,46B30B43-42D,Credit,Home Loan,183573,10978.38,296.71,2023-06-06,Partially Paid,Ronald Clark,2023-05-16,70,North,662.615.3973x6118,nancyclark@hotmail.com,320,High
CUST00022,Mrs. Andrea Hubbard,BB779DC4-1B9,Current,Personal Loan,496586,476807.99,19072.32,2023-07-05,Partially Paid,Stephen Mckinney,2023-04-15,32,West,443-563-8330x631,martincatherine@chen.com,674,Medium
CUST00023,Alexander Levine,4A59813F-E5C,Credit,Personal Loan,354019,56656.03,1716.85,2024-01-23,Paid,Kelly Anderson,2023-05-25,0,West,001-000-227-4842,gdeleon@hernandez-davis.com,653,Medium
CUST00024,Janice Martinez,E60CA7FA-D06,Credit,Personal Loan,133437,41761.62,1265.5,2023-06-23,Paid,Jill Williams,2023-01-18,0,South,677-608-3386x966,craigmartinez@waller.com,833,Low
CUST00025,Marc Parker,458527EC-E1A,Savings,Personal Loan,474995,337630.91,7673.43,2023-12-10,Missed,Paul Santos,,43,East,+1-820-367-7741,crystal89@fields.com,827,Low
CUST00026,Jessica Bates,139C94EB-7EC,Credit,Personal Loan,108419,23297.25,541.8,2023-09-03,Paid,Amanda Calhoun,2023-06-04,0,North,+1-343-135-0580,ndavis@gmail.com,729,Low
CUST00027,Meghan Morris,6B820F10-B04,Savings,Personal Loan,337922,244806.53,7418.38,2024-09-04,Paid,James Cooper,2023-07-26,0,West,(463)420-4883x5754,elainelarsen@taylor-gregory.info,820,Low
CUST00028,Dylan Adams,7A77534F-6BE,Current,Personal Loan,277340,97161.03,6477.4,2024-04-22,Paid,Raymond White,2024-01-04,0,South,(608)287-1509x36092,gabriela14@nguyen-myers.com,467,High
CUST00029,Lisa Houston,2A492E1E-A89,Current,Personal Loan,168395,141804.55,3545.11,2023-09-10,Partially Paid,James Cameron,2023-05-22,7,West,273.224.7284,corr@yahoo.com,305,High
CUST00030,Melissa Harmon,BBDBF597-4D0,Savings,Home Loan,348369,162139.26,3308.96,2024-04-22,Missed,Jeffrey Brown,,3,South,+1-093-610-8438x755,millerkim@johnson.org,735,Low
CUST00031,Brian Bishop,5A316973-51E,Current,Car Loan,301513,129622.1,4629.36,2024-08-12,Paid,Carlos Shah,2023-03-28,0,West,192.500.0559,walljustin@cardenas.org,805,Low
CUST00032,Jennifer Johnson,CF454F4A-06D,Current,Personal Loan,267196,241021.12,4725.9,2023-02-12,Missed,David Williams,,49,South,053.543.8572,jmartin@gmail.com,485,High
CUST00033,Sarah Deleon,EE1EB80D-D22,Savings,Personal Loan,496388,315819.21,10890.32,2024-03-10,Missed,Traci Jones,,63,South,(395)583-1036,orodriguez@gmail.com,665,Medium
CUST00034,Crystal Garcia,A6E49371-36B,Credit,Car Loan,108312,54980.22,1078.04,2023-07-17,Paid,Rebecca Dominguez,2023-06-19,0,North,405.777.1225,brentdiaz@yahoo.com,511,Medium
CUST00035,Taylor Matthews,1ABF9A7E-03A,Savings,Home Loan,484169,62466.39,4461.89,2024-08-28,Partially Paid,Rebecca Knight,2024-08-20,40,East,(080)066-1144,fdelgado@reed-dean.com,358,High
CUST00036,Christopher Perry,16B01360-D01,Savings,Personal Loan,133563,83019.72,3609.55,2023-04-24,Paid,Jose Mays,2023-03-05,0,West,243.739.8851,diazchristine@williams.com,346,High
CUST00037,Rachel Newton,6703A756-9FA,Current,Car Loan,229060,77248.53,1643.59,2024-12-03,Partially Paid,Courtney Smith,2024-11-19,68,West,974-141-4463x267,pattersonkendra@johnson-griffith.com,552,Medium
CUST00038,Tyler Little,9973436C-078,Savings,Home Loan,330660,222959.81,6967.49,2024-05-11,Partially Paid,John Williams,2024-03-20,10,East,870-014-7186,jenniferbryant@long-ford.com,361,High
CUST00039,Jason Yates,DAA02EAD-C07,Current,Home Loan,258954,113388.77,2139.41,2023-04-25,Paid,Jesse Lane,2023-04-10,0,West,001-814-382-8973,felicia60@yahoo.com,836,Low
CUST00040,Christine Diaz,243607F7-2D2,Savings,Home Loan,127905,118228.86,5140.39,2023-06-29,Partially Paid,Travis Horn,2023-02-08,21,East,001-932-546-5934x01171,yvonne09@gmail.com,414,High
CUST00041,Lisa Mcdonald,1A507B8B-8AB,Savings,Car Loan,121045,68923.09,4594.87,2024-10-06,Paid,Daniel Jackson,2024-01-20,0,East,2332616888,garciafrank@lopez.com,610,Medium
CUST00042,Nicholas Gonzales,F2EE5FEC-950,Current,Personal Loan,166349,69067.7,1469.53,2024-10-14,Paid,Michelle Mcclure,2023-09-26,0,North,195.381.0907,lesliebright@yahoo.com,517,Medium
CUST00043,Michelle Johnston,8F41A3F2-C4F,Current,Home Loan,416836,402950.1,22386.12,2024-10-20,Paid,Joshua Martinez,2023-08-06,0,North,741-681-5445x4166,sallysmith@hotmail.com,674,Medium
CUST00044,Benjamin Gordon,AA2938EA-B5E,Current,Personal Loan,457722,287077.85,11961.58,2024-09-30,Missed,Justin Torres,,46,South,(694)319-3884x4665,wjackson@brown.com,685,Medium
CUST00045,Julie Flowers,992A8807-8AE,Current,Personal Loan,219500,209745.5,4369.7,2023-09-06,Partially Paid,Christina Pearson,2023-04-14,3,West,+1-112-423-4597,robertscathy@gmail.com,563,Medium
CUST00046,Lisa Baker,36A8B9F9-90C,Current,Home Loan,219046,82198.16,4566.56,2024-10-10,Partially Paid,Kristen Mcdonald,2023-12-06,90,East,007.432.3949x70628,franciscocurtis@yahoo.com,657,Medium
CUST00047,Michelle Huff,7171D2BF-38F,Current,Personal Loan,93643,18447.13,838.51,2023-03-17,Partially Paid,Jeremy Smith,2023-03-08,66,West,+1-666-393-3568x495,brownsarah@hughes.info,380,High
CUST00048,Megan Beltran,2D6F2FCC-D49,Savings,Car Loan,110151,67536.08,1570.61,2024-01-17,Partially Paid,Jonathan Friedman,2023-12-15,86,South,291-707-6649x80036,jgutierrez@henderson.info,444,High
CUST00049,Joseph Walton,2D991515-DC1,Current,Car Loan,310698,97944.93,2577.5,2024-02-01,Partially Paid,Marcus Thompson,2023-06-19,12,North,257.228.9331x3724,cookmark@lynn-stevens.biz,620,Medium
CUST00050,Barbara Perry,8C9C0BD4-20F,Savings,Car Loan,467408,170956.02,4070.38,2023-01-22,Paid,Erik Porter,2023-01-06,0,South,001-270-260-4246,christinastephens@gmail.com,831,Low
CUST00051,Sara Lopez,EA07F972-9A9,Savings,Car Loan,19099,7149.46,155.42,2023-01-12,Partially Paid,Jeffrey Patterson,2023-01-07,80,East,+1-408-567-8659x8348,rbrown@gmail.com,705,Low
CUST00052,Jessica Bullock,636F9B0D-237,Savings,Home Loan,290056,221406.91,6150.19,2024-11-14,Paid,Scott Watson,2024-07-15,0,East,8574794827,nguyenpatricia@gmail.com,533,Medium
CUST00053,Melissa Little,8F0FCF5D-C7F,Credit,Personal Loan,94287,71614.99,2170.15,2024-04-12,Partially Paid,Susan Clark,2024-01-07,47,West,280.290.5744,palmereric@yahoo.com,727,Low
CUST00054,Judith Booth,7DDCAC41-521,Credit,Car Loan,82818,12165.06,270.33,2024-03-21,Paid,Michelle Johnson,2023-04-11,0,South,(243)307-9477,brandonwells@rodgers.biz,361,High
CUST00055,Nicholas Brock,8A05F575-538,Savings,Car Loan,154462,65043.81,1667.79,2024-03-13,Missed,Stephen Thompson,,51,South,001-882-749-0799x812,joel50@yahoo.com,351,High
CUST00056,Edward Knight,C5954AB3-8C7,Current,Home Loan,471833,304914.22,5444.9,2024-04-12,Partially Paid,William Graham,2023-09-20,33,South,001-414-899-3613x9767,smithalejandra@yahoo.com,615,Medium
CUST00057,Gordon Rodriguez,A5C87773-FAB,Current,Car Loan,229206,130373.1,10028.7,2023-02-06,Missed,Amy Singleton,,8,West,(059)576-0370,joanna81@gmail.com,596,Medium
CUST00058,Gregory Carter,1EFE27F9-CD5,Savings,Car Loan,216116,58842.34,3922.82,2023-07-31,Partially Paid,Judith Murphy,2023-04-06,26,South,658.085.8209x587,emueller@dawson.com,304,High
CUST00059,Kimberly Fields,B7DAFB04-DB6,Savings,Personal Loan,112853,11277.6,663.39,2024-05-31,Missed,Lee Cook,,88,South,001-042-040-8516,jenniferjones@hotmail.com,399,High
CUST00060,Wendy Smith,394B623D-836,Credit,Home Loan,25896,19950.01,586.76,2024-12-30,Partially Paid,Shane Ford,2023-04-14,51,South,024.933.7912,andrewtaylor@cain-roach.com,436,High
CUST00061,Ian Thompson,913219B1-490,Credit,Car Loan,445766,400686.58,6908.39,2023-09-17,Paid,Melinda Little,2023-08-17,0,South,713.727.1476x2702,anthonythompson@yahoo.com,652,Medium
CUST00062,Ryan York,2A19C598-A3B,Savings,Home Loan,327398,266736.82,8335.53,2024-10-18,Paid,Rebecca Murphy,2024-01-10,0,West,368-646-6452x732,richard49@hotmail.com,599,Medium
CUST00063,Andrew Green,3BB6A3F4-9EB,Current,Home Loan,299572,46985.02,886.51,2024-02-29,Partially Paid,Amanda Rivera,2023-12-26,85,South,6838785904,allison45@gmail.com,785,Low
CUST00064,Christine Hayden,D154FEF5-6DE,Savings,Personal Loan,490770,235527.05,15701.8,2024-04-22,Missed,Dennis Gibson,,53,East,(512)169-5161x85827,jbarnett@cole.com,517,Medium
CUST00065,Brian Richards,9CD3E1B5-95A,Savings,Car Loan,193885,55257.88,1905.44,2024-01-16,Missed,Shelby Ball,,46,North,254.685.5092x85124,jameshamilton@hotmail.com,796,Low
CUST00066,Lee Davis,484AB5E7-531,Credit,Car Loan,152486,54672.33,911.21,2024-10-15,Paid,Jennifer Chase,2023-11-05,0,East,873.428.8671,thomasdawn@hotmail.com,784,Low
CUST00067,Lisa Montgomery,3C77143A-166,Credit,Home Loan,231219,185187.25,14245.17,2023-02-25,Partially Paid,Courtney Juarez,2023-02-23,23,South,626.799.4902x6579,edwardpalmer@gmail.com,714,Low
CUST00068,Trevor Davies,D695D3B3-3A8,Savings,Personal Loan,261600,101033.85,4811.14,2024-03-21,Partially Paid,Kathleen Gonzales,2023-03-24,73,East,001-146-200-5562x804,waltersjulie@robinson.com,316,High
CUST00069,Andrea Mitchell,B1F153C4-C4A,Credit,Personal Loan,192150,2296.2,56.0,2023-03-02,Paid,Brian Pennington,2023-02-09,0,North,001-989-054-0572x53003,derrickjohnson@yahoo.com,823,Low
CUST00070,Claudia Nelson,0C98B3CC-EBC,Current,Car Loan,332483,216125.53,10291.69,2023-04-20,Partially Paid,John Landry,2023-04-16,43,South,725-773-9466,toddadams@martin-chapman.com,600,Medium
CUST00071,Andrea Fernandez,3C8DCAE6-B72,Credit,Car Loan,143048,112046.04,2546.5,2024-11-16,Partially Paid,John Bernard,2024-02-06,15,East,613.531.4251x24300,steven74@marshall.biz,779,Low
CUST00072,Shelby Kirby,07A36270-34E,Savings,Car Loan,418351,77824.04,3383.65,2024-01-16,Paid,Leah Santana,2023-01-26,0,South,+1-372-253-8997x96747,wpowell@yahoo.com,790,Low
CUST00073,Jose Smith,CB89566D-F37,Current,Personal Loan,319152,19214.36,1200.9,2023-04-23,Partially Paid,Michael Hester,2023-02-09,70,North,(872)958-0829x3441,stewarttiffany@yahoo.com,513,Medium
CUST00074,Shelly Potter,F42AE2BC-246,Credit,Car Loan,270431,13420.11,298.22,2023-11-01,Partially Paid,Shannon Williams,2023-08-08,21,South,+1-063-744-1174x4551,rossjessica@gmail.com,575,Medium
CUST00075,Jennifer Klein,3D41DD7B-4AE,Savings,Car Loan,298388,106347.52,8180.58,2024-04-17,Missed,Jennifer Brown,,8,South,329.149.9837x2234,langleslie@gmail.com,683,Medium
CUST00076,Katherine Johnson,288FA04B-C13,Savings,Car Loan,192342,179844.38,3826.48,2023-05-27,Paid,Craig Hull,2023-03-28,0,West,565-219-3940,cody33@butler.com,837,Low
CUST00077,Ivan Huffman,8BDA83FE-644,Current,Personal Loan,136039,132061.84,4001.87,2024-09-02,Paid,Andrea Mendoza,2023-11-09,0,South,052.222.6030x431,ricardo00@padilla.com,765,Low
CUST00078,Lisa Sandoval,14CE1693-B74,Current,Car Loan,196292,175189.02,12513.5,2024-05-23,Paid,Miss Heather Ball,2024-02-08,0,South,358.619.6630,kacevedo@williams.com,739,Low
CUST00079,Brandon Payne,9C1B23CB-E8E,Savings,Car Loan,327502,157621.73,3665.62,2023-01-14,Paid,Erik Barr,2023-01-12,0,South,361-859-5028x37737,xlopez@chavez-williams.com,850,Low
CUST00080,Jillian Reyes,A51D6D09-F14,Credit,Personal Loan,225521,60608.87,1515.22,2023-12-19,Paid,Claire Chang,2023-01-30,0,North,001-270-871-6155x86101,maydiana@yahoo.com,540,Medium
CUST00081,Diana Burke,AFB18FAF-649,Savings,Personal Loan,444468,428342.44,12598.31,2024-09-19,Missed,Melissa Garcia,,27,West,2056049417,rodneyjohnson@gmail.com,473,High
CUST00082,Donna Johnson,94A6A6C4-5A4,Savings,Home Loan,384601,86450.06,3758.7,2024-01-30,Partially Paid,Alexis Oconnor,2023-12-29,87,North,+1-866-182-4610x01653,linda73@ellis.com,457,High
CUST00083,Derrick Schaefer,42604ADC-C8E,Current,Personal Loan,220314,104735.4,3740.55,2024-07-10,Partially Paid,Kimberly Newton,2023-09-13,48,East,047-351-8222x370,wortiz@farmer-gonzalez.com,337,High
CUST00084,Larry Ortega,DA5E742F-BD7,Savings,Car Loan,53108,1370.83,27.42,2024-02-10,Paid,Edward Gonzalez,2024-01-24,0,South,979-804-8931x392,rocharicky@gmail.com,849,Low
CUST00085,Bethany Ellis,BDC2DE40-23E,Savings,Car Loan,175553,77613.25,3233.89,2024-07-31,Missed,Mary Vazquez,,63,West,001-308-485-1273x55168,wjones@hotmail.com,359,High
CUST00086,Dustin Stephens,6C366633-E4F,Credit,Home Loan,432996,173762.84,3407.11,2024-07-19,Partially Paid,Michael Peterson,2023-03-17,42,East,(617)342-9911,yweber@yahoo.com,539,Medium
CUST00087,Sarah Bender,2D855066-F2B,Current,Home Loan,160288,147752.77,7776.46,2023-09-04,Partially Paid,Heather Oconnor,2023-08-01,12,South,+1-920-846-9490,honeill@haas.biz,775,Low
CUST00088,Stacy Spears,54477BFD-E85,Savings,Personal Loan,167620,129864.16,7214.68,2024-12-01,Missed,Robin Jensen,,14,North,001-970-883-2885x3119,tracey48@diaz.com,360,High
CUST00089,Bobby Boyle,68FF847D-BB6,Current,Home Loan,97213,2129.27,92.58,2024-04-23,Missed,Albert Hamilton,,78,North,(597)031-1471x1891,boydderrick@thompson.com,505,Medium
CUST00090,Jaclyn Lopez,ACC2126A-E70,Savings,Home Loan,148443,134340.25,3838.29,2023-09-04,Paid,Emily Hill,2023-05-31,0,North,(417)433-3111x28824,qyoung@ross.com,583,Medium
CUST00091,Anthony Kelley MD,E59421A9-47A,Savings,Car Loan,403812,181474.45,3629.49,2023-11-10,Partially Paid,Micheal Martin,2023-10-26,54,West,2165814954,marcussullivan@hotmail.com,348,High
CUST00092,Lucas Hernandez,FE6D5470-44E,Savings,Home Loan,468561,99632.25,3832.01,2024-08-12,Missed,Cory Alvarez,,73,South,(421)607-0255x09153,robinsonkimberly@olson.com,358,High
CUST00093,Mark French,94CB4EF8-D0E,Savings,Personal Loan,24783,8776.52,626.89,2024-10-02,Partially Paid,Ruth Goodwin,2024-03-25,22,West,097-165-6863x9788,jessica47@yahoo.com,605,Medium
CUST00094,William Gardner,0E750F63-95B,Savings,Personal Loan,64559,44970.83,1499.03,2023-10-03,Partially Paid,Desiree Wagner,2023-01-08,32,West,3216749360,kristen96@brown.info,682,Medium
CUST00095,Beth Anderson,AA2F2C4E-B8B,Savings,Personal Loan,269965,266976.3,20536.64,2024-01-08,Partially Paid,Jessica Pittman,2023-12-07,73,East,001-816-033-8139,evansmark@hotmail.com,822,Low
CUST00096,Jennifer Lewis,ED5D586E-A97,Savings,Car Loan,417064,370954.12,6395.76,2023-05-25,Paid,Leslie Pham,2023-03-10,0,West,(436)784-2478x80441,joshua57@gmail.com,389,High
CUST00097,Tiffany Mendoza,02CE2C40-D55,Current,Home Loan,239059,90463.98,2512.89,2023-02-06,Missed,Melanie Boyd,,44,North,+1-043-186-9820x462,mullinsamanda@yahoo.com,485,High
CUST00098,Anthony Swanson,1D960F61-3FF,Credit,Car Loan,205089,184309.89,3613.92,2023-03-09,Partially Paid,Emily Murphy,2023-01-08,24,South,+1-744-199-5932x677,cynthia16@stuart.com,435,High
CUST00099,Steven Hayes,DC857FB7-BF5,Credit,Home Loan,238235,92028.28,1643.36,2024-05-02,Partially Paid,Steven Hamilton,2023-10-19,63,West,(868)455-4232,karensingh@yahoo.com,474,High
CUST00100,Richard Booth,50819E9F-E5E,Credit,Personal Loan,470747,193811.32,4037.74,2023-03-22,Missed,Terri Washington,,86,South,688.110.9906x81616,cwiggins@campbell.com,361,High
CUST00101,Mark Johnson,67186F4F-3BA,Current,Car Loan,411773,172690.89,4211.97,2023-12-17,Partially Paid,Bruce Larson,2023-11-28,57,South,001-001-427-1484x8565,paul29@perkins.net,540,Medium
CUST00102,Jennifer Woods,8A1BE7D1-95C,Credit,Home Loan,323853,25485.38,1592.84,2023-01-17,Paid,David Oconnor,2023-01-06,0,West,467-495-0555x34717,vwall@warren.com,383,High
CUST00103,James Strickland,C5424A59-088,Savings,Personal Loan,93891,47567.87,1081.09,2024-02-01,Paid,Brandon Mueller,2023-09-26,0,South,615-777-4052x123,williamtorres@dalton.com,827,Low
CUST00104,Jeremy Patterson,F42212BC-DA3,Savings,Personal Loan,301413,121857.44,2833.89,2023-05-22,Paid,Morgan Anderson,2023-03-13,0,South,769.499.8141,amandalewis@mckenzie.com,779,Low
CUST00105,Jason Byrd,1B5E2447-C9D,Current,Personal Loan,304668,245319.96,11681.9,2023-07-12,Missed,Cynthia Carroll MD,,11,East,855-336-6857x83414,roberto66@hotmail.com,679,Medium
CUST00106,Matthew Cohen,B21BF24B-A3C,Current,Car Loan,154736,154687.79,4070.73,2023-02-20,Missed,James Moran,,31,West,888.996.1201x025,evansmonica@hotmail.com,658,Medium
CUST00107,Taylor Cortez,20040DDF-F71,Current,Personal Loan,54257,26806.63,1031.02,2024-08-11,Missed,Teresa House,,67,North,6646413558,amandanorris@owens-rubio.biz,817,Low
CUST00108,Dr. Ronald Carey,61D7EA45-D84,Savings,Home Loan,430185,71082.09,1393.77,2023-02-22,Partially Paid,David Greene,2023-01-31,72,South,+1-606-511-1967x53507,penasherry@gmail.com,374,High
CUST00109,Connor Guerra,D601B944-216,Current,Personal Loan,128088,52325.23,1245.84,2024-06-06,Missed,Lisa Taylor,,81,West,857.136.6910,davidsmith@white.net,762,Low
CUST00110,April Bradley,9FEE20A4-79B,Savings,Personal Loan,171782,12419.46,310.49,2023-07-08,Paid,Mary Hurst,2023-06-18,0,East,621-151-2984x408,daviskatherine@harper.com,619,Medium
CUST00111,Elizabeth Taylor,F4B864D8-470,Savings,Personal Loan,406844,391486.34,15057.17,2024-02-29,Partially Paid,Rebecca Bailey,2023-03-23,12,North,001-503-319-1247x837,belljavier@hunter.com,600,Medium
CUST00112,Tricia Bennett,6508E4D6-90E,Credit,Personal Loan,123668,49554.94,839.91,2024-11-19,Paid,Natalie Martin,2024-09-08,0,South,438.654.5885,sarah00@yahoo.com,797,Low
CUST00113,Stacy Odonnell,DD2C27B4-9C4,Credit,Personal Loan,149167,70974.31,4731.62,2023-11-10,Partially Paid,Amanda Collins,2023-02-01,30,West,461.436.0679,marshallkeith@yahoo.com,480,High
CUST00114,Ashley Lopez,66759900-70D,Current,Home Loan,386165,122688.85,3608.5,2024-10-06,Paid,David Weber,2023-08-18,0,East,(908)361-9427x3464,milleranna@flowers.org,474,High
CUST00115,Tara Swanson,F056F54C-F8D,Current,Car Loan,421678,157630.34,11259.31,2023-02-14,Paid,Michelle David DDS,2023-01-29,0,South,001-616-751-4962x48876,abennett@gmail.com,516,Medium
CUST00116,Tina Cruz,A95A40E2-569,Savings,Personal Loan,379936,248712.17,4522.04,2023-07-22,Paid,Jason Porter,2023-02-05,0,South,745-242-0832x91485,faulkneradriana@yahoo.com,730,Low
CUST00117,Erika Joseph,47C352DD-89F,Current,Home Loan,117919,53023.17,2039.35,2023-12-27,Paid,Casey Ramos,2023-06-21,0,North,(180)707-2123,dherring@lopez.org,579,Medium
CUST00118,Benjamin Jones,2F13CD21-F5D,Current,Personal Loan,98219,26755.2,1070.21,2023-09-25,Partially Paid,Andrea Powell,2023-07-03,82,North,286-045-4505,wwhitaker@gmail.com,361,High
CUST00119,Mark Young,EB28FBC7-7E5,Savings,Car Loan,19522,7860.01,357.27,2024-12-28,Missed,Annette Schroeder,,43,East,(863)119-9693x279,mckaygregory@cline.com,823,Low
CUST00120,John Stafford,50599B67-108,Credit,Car Loan,182180,9698.35,293.89,2023-02-03,Paid,Breanna Burton,2023-01-10,0,North,001-407-358-3598x95899,nharris@gmail.com,749,Low
CUST00121,Debra Webb MD,A523D210-5FD,Current,Home Loan,84953,18788.46,494.43,2023-07-25,Missed,Tara Murphy,,65,North,001-636-598-3768x5462,susanwilliams@hotmail.com,408,High
CUST00122,James Garza,B5D845E5-08A,Current,Home Loan,186293,122913.06,3964.94,2023-09-26,Missed,Chelsea Hamilton,,65,South,7614000868,christinedecker@gmail.com,824,Low
CUST00123,Robert Barnes,86311988-0B9,Savings,Home Loan,101017,67735.43,1278.03,2023-11-21,Missed,Briana Burke,,16,West,(836)669-1799,marcobrown@hotmail.com,687,Medium
CUST00124,Courtney Jones,3712F2D8-ABD,Current,Car Loan,253929,43690.1,809.08,2023-10-12,Partially Paid,Angel Simon,2023-09-01,53,North,+1-933-346-9202x6923,aaronsimpson@hotmail.com,464,High
CUST00125,April Berg,0ED4CBC2-9A2,Current,Personal Loan,246832,222127.92,6533.17,2024-04-03,Partially Paid,Johnny Johnson,2023-06-04,21,South,226.659.3690,jhamilton@smith.com,758,Low
CUST00126,Crystal Murray,3380F5FF-ABD,Current,Car Loan,280719,257574.48,14309.69,2024-02-22,Partially Paid,Gabriel Johnson,2024-02-11,30,East,(103)437-4048x75706,amber17@moore.com,469,High
CUST00127,Emily Morales,5EA8B742-4B1,Savings,Personal Loan,368785,233255.55,6860.46,2024-01-28,Partially Paid,John Mitchell,2023-11-15,2,South,001-931-280-7712x621,srobinson@hotmail.com,574,Medium
CUST00128,Kathryn Scott,7BAB012C-B5B,Savings,Personal Loan,265043,75644.2,1543.76,2024-03-21,Paid,Jeffrey Barron,2023-01-16,0,East,(012)909-1499,mgarcia@hoffman.com,411,High
CUST00129,Whitney Smith,F4B87C43-BE6,Savings,Car Loan,112780,96279.56,6017.47,2023-10-01,Missed,Jacob Cole,,42,West,(273)837-5643x005,xjohnson@martin-mack.biz,832,Low
CUST00130,Alyssa Brown,DFD187D8-410,Savings,Car Loan,109300,95478.96,2652.19,2023-08-02,Missed,Gregory Wong,,78,North,542-802-4387,jensencameron@coleman.org,636,Medium
CUST00131,Ashley Li,1C2E5D0F-02F,Credit,Home Loan,7676,1047.4,19.76,2023-01-12,Paid,Sergio Evans,2023-01-07,0,East,001-366-660-1204x5791,millermackenzie@lee.com,836,Low
